Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","024","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","4.75","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","671","Disponibilité de protéines en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","61738.42","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","2.29","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","024","Angola","681","Disponibilité de matière grasse en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","29702.14","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","7","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5072","Variation de stock","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5911","Exportations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5301","Disponibilité intérieure","S2734","Viande de Volailles","2022","2022","1000 t","7","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5154","Autres utilisations (non alimentaire)","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5171","Alimentation pour touristes","S2734","Viande de Volailles","2022","2022","1000 t","1","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5170","Résidus","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2734","Viande de Volailles","2022","2022","1000 t","6","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","68.33","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","258.92","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2022","2022","millions de kcal","8861.21","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","31.07","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","671","Disponibilité de protéines en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","1063.17","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","14.87","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","681","Disponibilité de matière grasse en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","509.03","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1130","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","551","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5072","Variation de stock","S2734","Viande de Volailles","2022","2022","1000 t","1","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5911","Exportations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","21","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5301","Disponibilité intérieure","S2734","Viande de Volailles","2022","2022","1000 t","1659","I","Valeur imputée",""
